residence_time_ms,phi,h2_fraction,inlet_temperature_k,pressure_atm,reactor_pressure_atm,outlet_temperature_k,temperature_rise_k,x_ch4,x_h2,x_o2,x_co,x_co2,x_h2o,x_no,ch4_conversion_percent,h2_conversion_percent,status,error_message
0.5,0.7,0.2,1000.0,10.0,9.999999999999991,2372.0723266654422,1372.0723266654422,3.0098203360563993e-05,0.0009487869715000023,0.05831080261848377,0.002983917882523292,0.060917223830161946,0.1400008002274105,0.000489668803602207,99.95293793093329,94.06584141286959,stable,
1.0,0.7,0.2,1000.0,10.0,9.999999999999995,2379.32499567494,1379.32499567494,1.6292573810494253e-05,0.0007971973298355579,0.057864162363955404,0.002353490345474383,0.06160675699392937,0.14044790244682576,0.0008168630290242415,99.97453882423918,95.01672809536579,stable,
2.0,0.7,0.2,1000.0,10.0,9.999999999999998,2382.561493708447,1382.561493708447,8.574782253818292e-06,0.0007132467742688401,0.05742415287070969,0.0020008197212039755,0.061992849223135284,0.14070657728705313,0.0013912197032497505,99.98660400290905,95.54290642938153,stable,
5.0,0.7,0.2,1000.0,10.0,10.00000000000004,2382.826996400442,1382.826996400442,3.586213885071179e-06,0.0006568836170228777,0.056682010398597625,0.0017655486514852991,0.06225115261262521,0.14089816006991412,0.002693242873630375,99.99439866477982,95.89603358026288,stable,
10.0,0.7,0.2,1000.0,10.0,9.999999999999098,2381.1547255910145,1381.1547255910145,1.8407280489103342e-06,0.0006343015350514888,0.05597245062251439,0.0016744042161718374,0.062351880976114014,0.1409901714239341,0.004061577957196328,99.99712523486123,96.0375071341768,stable,
20.0,0.7,0.2,1000.0,10.0,9.999999999998037,2378.844872862438,1378.844872862438,9.410368745362862e-07,0.0006202134944906212,0.0552370617236296,0.0016199908755202832,0.06241249467629556,0.14105812849956115,0.005516443780243634,99.99853043068015,96.12577679826475,stable,
50.0,0.7,0.2,1000.0,10.0,10.000000000005516,2376.1087398120494,1376.1087398120494,3.8464664586688475e-07,0.0006093035771243157,0.054448911294859806,0.0015796909055242902,0.06245775336877619,0.1411185067795036,0.007092011767755884,99.99939935105215,96.19414279104448,stable,
0.001,0.7,0.4,1000.0,10.0,9.999999999999705,1000.0001056716676,0.00010567166759756219,0.05703422047443255,0.038022813634826284,0.1901140682921613,7.727582572721229e-19,1.74527931812044e-20,6.581543352489073e-12,5.4655005617981015e-25,1.0629231939063288e-07,1.4520430413611507e-07,extinguished,
0.002,0.7,0.4,1000.0,10.0,9.99999999999137,1000.0001053217436,0.00010532174360378121,0.05703422041968745,0.03802281357490007,0.1901140681347851,5.331363056167274e-18,8.507002702261775e-20,1.584014621266503e-11,1.4502118769166238e-24,2.079985850222954e-07,3.0853010146714155e-07,extinguished,
0.005,0.7,0.4,1000.0,10.0,9.999999999869697,2087.9275806895166,1087.9275806895166,0.0012702751889781831,0.008369945268987586,0.07399534628290656,0.025592856823344234,0.02925611420938732,0.13365769520746915,2.925972074795802e-05,97.7624046192818,77.88445641552347,stable,
0.01,0.7,0.4,1000.0,10.0,9.99999999999999,2179.58698826202,1179.58698826202,0.0005873670103675785,0.005983837267919301,0.06738231422034835,0.01845361758262237,0.037691596797537155,0.1385851237061392,5.2029691828091024e-05,98.97086575480769,84.27344809622545,stable,
0.02,0.7,0.4,1000.0,10.0,9.999999999999947,2247.847663576736,1247.847663576736,0.00031697317715499165,0.0043760584084363745,0.06366396833260375,0.013252807933495592,0.04356093422863267,0.14213331115442968,8.061865362727721e-05,99.44712346775246,88.55067160815666,stable,
0.05,0.7,0.4,1000.0,10.0,9.999999999999998,2313.487855635725,1313.4878556357248,0.00015430939397842702,0.0028420221261856666,0.06074591283579708,0.008395875057744785,0.04893702808454149,0.1456987426158071,0.00013643956184150474,99.732069724724,92.59801606068287,stable,
0.1,0.7,0.4,1000.0,10.0,10.000000000000002,2347.8002718005823,1347.8002718005823,9.158265400566812e-05,0.0020404952170737633,0.05940174133581996,0.005879835049527552,0.05169598446930501,0.1476610824895451,0.00020178590035832994,99.84136870170488,94.69845448960203,stable,
0.2,0.7,0.4,1000.0,10.0,10.000000000000004,2371.1915515059072,1371.1915515059072,5.366457480820024e-05,0.001497732683076522,0.058516464587717296,0.004153915481571171,0.05358193333744368,0.14905099201205363,0.0003045521903937677,99.90720196106831,96.11512837854008,stable,
0.5,0.7,0.4,1000.0,10.0,10.000000000000005,2389.116930434417,1389.116930434417,2.5121882209329097e-05,0.0010810383724521374,0.05776281518927982,0.002794690272240153,0.055065287289504196,0.15016675067063315,0.0005635354773540428,99.95661529246946,97.19962063984782,stable,
