reactor_model,initial_temperature_k,pressure_atm,phi,h2_fraction,ignition_delay_ms,ignition_delay_oh_ms,criterion_difference_percent,maximum_temperature_k,temperature_rise_k,maximum_temperature_rate_k_per_s,maximum_oh_mass_fraction,recorded_points,status,error_message
constant_pressure,950.0,10.0,1.2,0.2,42.68803480466953,42.689310449910685,0.0029882969478333423,2619.2253493312573,1669.2253493312573,224216231.35784912,0.007749530601210891,3897,ignited,
constant_pressure,950.0,10.0,1.3,0.2,41.102240387743,41.10371359348515,0.0035842468153888573,2557.5167473381566,1607.5167473381566,187394903.85839844,0.006041993881714725,3943,ignited,
constant_pressure,950.0,10.0,1.4,0.2,39.70367420087275,39.70587981550547,0.005555190236457101,2489.9318808101784,1539.9318808101784,137399249.95043945,0.0034046140375024133,3961,ignited,
constant_pressure,975.0,10.0,0.6,0.2,32.756095815021986,32.761464264915226,0.0163891628708017,2220.9603255710317,1245.9603255710317,79397626.55848694,0.00381331966976221,3458,ignited,
constant_pressure,975.0,10.0,0.7,0.2,30.292072621640806,30.29586984555958,0.012535371766080609,2370.972057525949,1395.972057525949,129171158.09350586,0.00549820446828826,3586,ignited,
constant_pressure,975.0,10.0,0.8,0.2,28.334682700291168,28.3376169895297,0.010355821766450942,2497.86891621129,1522.86891621129,178548757.77246094,0.007055515481638059,3767,ignited,
constant_pressure,975.0,10.0,0.9,0.2,26.73616107878751,26.738501011033513,0.008751938017978082,2596.371744431382,1621.371744431382,219779109.11628723,0.008227967942905414,3752,ignited,
constant_pressure,975.0,10.0,1.0,0.2,25.40294884074891,25.404766266339003,0.007154388262115678,2658.4661291102557,1683.4661291102557,246478893.28729248,0.00883001742867031,3742,ignited,
constant_pressure,975.0,10.0,1.1,0.2,24.272511065025416,24.27390135798982,0.005727849750200323,2671.6457424937266,1696.6457424937266,253728989.07092285,0.00877730696905079,3867,ignited,
constant_pressure,975.0,10.0,1.2,0.2,23.30120703517719,23.302440198232652,0.005292271141154709,2635.990383435927,1660.990383435927,238525479.44244385,0.007993195963103272,3881,ignited,
constant_pressure,975.0,10.0,1.3,0.2,22.457549606237013,22.458954037562048,0.006253715786717709,2576.0286857730284,1601.0286857730284,201352456.69644165,0.006303058841072156,3671,ignited,
constant_pressure,975.0,10.0,1.4,0.2,21.718093221210367,21.720148556360424,0.009463699824486051,2509.3959175259993,1534.3959175259993,150207048.3203354,0.003688560866438811,3727,ignited,
constant_pressure,1000.0,10.0,0.6,0.2,18.40895777511479,18.413973904580555,0.027248307737151593,2241.4141356556975,1241.4141356556975,87825770.24633789,0.00402835699811945,3379,ignited,
constant_pressure,1000.0,10.0,0.7,0.2,17.03230967702391,17.03590286005854,0.02109627585902196,2389.741942489574,1389.7419424895738,139924535.27183533,0.005740798040033814,3450,ignited,
constant_pressure,1000.0,10.0,0.8,0.2,15.947340969479892,15.95014644382603,0.017592113641434034,2514.5204240650487,1514.5204240650487,191059835.06472778,0.007307783200016913,3560,ignited,
constant_pressure,1000.0,10.0,0.9,0.2,15.068306510417134,15.070556670470056,0.014933065314051813,2610.856377455089,1610.856377455089,233550520.65286255,0.008478991491345057,3665,ignited,
constant_pressure,1000.0,10.0,1.0,0.2,14.34111820030897,14.342878762160213,0.012276322017942827,2671.59284978071,1671.59284978071,261059343.06585693,0.009076622854080287,3669,ignited,
constant_pressure,1000.0,10.0,1.1,0.2,13.729752068524078,13.731105205108992,0.009855506335151488,2685.6604111774327,1685.6604111774327,268696872.1333313,0.009020986603077891,3782,ignited,
constant_pressure,1000.0,10.0,1.2,0.2,13.209142268802363,13.210336306241713,0.009039477469853733,2652.556132566834,1652.556132566834,253533722.2702942,0.008239661100031638,3728,ignited,
constant_pressure,1000.0,10.0,1.3,0.2,12.761236283259185,12.762581655121615,0.010542645183949536,2594.4224441364036,1594.4224441364036,216035330.96661377,0.006566062103284871,3690,ignited,
constant_pressure,1000.0,10.0,1.4,0.2,12.37260707583979,12.37454119111205,0.015632237089597704,2528.810119553204,1528.810119553204,163809715.52531433,0.0039755959002123675,3761,ignited,
constant_pressure,1025.0,10.0,0.6,0.2,10.66123059594539,10.665883527813572,0.04364347836121766,2261.8088487657906,1236.8088487657906,96840899.2665863,0.004249660023522682,3255,ignited,
constant_pressure,1025.0,10.0,0.7,0.2,9.886810093225062,9.890214523727643,0.034434063873784386,2408.3914808887575,1383.3914808887575,151282912.6810608,0.005988158307272051,3356,ignited,
constant_pressure,1025.0,10.0,0.8,0.2,9.283419558194472,9.28611389543743,0.029023111861607064,2531.0231303627347,1506.0231303627347,204206254.7451477,0.007563749531203236,3478,ignited,
constant_pressure,1025.0,10.0,0.9,0.2,8.80035605812746,8.802519783299957,0.02458679124123893,2625.221093506423,1600.2210935064231,247965346.50564575,0.008733198913130487,3571,ignited,
constant_pressure,1025.0,10.0,1.0,0.2,8.405779479623018,8.407487826412792,0.02032347855324788,2684.645719692443,1659.645719692443,276301070.56777954,0.009326189727482729,3679,ignited,
constant_pressure,1025.0,10.0,1.1,0.2,8.078563384552071,8.079872715418224,0.01620747159893386,2699.5235194572265,1674.5235194572265,284366370.0360718,0.009267557485191896,3622,ignited,
constant_pressure,1025.0,10.0,1.2,0.2,7.804026160563693,7.805185693204273,0.01485813369564925,2668.909334507884,1643.909334507884,269267660.1465454,0.00848871051844599,3611,ignited,
constant_pressure,1025.0,10.0,1.3,0.2,7.571639959154984,7.572933188372815,0.017079909039616495,2612.6760632366922,1587.6760632366922,231468649.0913086,0.006830810825062876,3620,ignited,
constant_pressure,1025.0,10.0,1.4,0.2,7.373561051622979,7.375386339700651,0.024754498740745715,2548.1532186959166,1523.1532186959166,178199959.74728394,0.004264947001244844,3599,ignited,
constant_pressure,1050.0,10.0,0.6,0.2,6.380423798967851,6.3847960921057565,0.0685266884405453,2282.1289913772157,1232.1289913772157,106446116.51989746,0.004476994043056899,3211,ignited,
constant_pressure,1050.0,10.0,0.7,0.2,5.945237547496209,5.948490041050098,0.05470754579451391,2426.907136927739,1376.907136927739,163256755.65963745,0.006240052672008604,3426,ignited,
constant_pressure,1050.0,10.0,0.8,0.2,5.6120023259201535,5.614578119999055,0.045897951021949816,2547.3693498761954,1497.3693498761954,217985133.5812683,0.007823193207017798,3494,ignited,
constant_pressure,1050.0,10.0,0.9,0.2,5.350202259852731,5.352287303878058,0.03897131218708152,2639.46231614818,1589.46231614818,263061982.4703369,0.008990376235275585,3557,ignited,
constant_pressure,1050.0,10.0,1.0,0.2,5.140763458689769,5.142418000429555,0.032184747520134394,2697.619514488652,1647.619514488652,292250444.54400635,0.009578541718156818,3607,ignited,
constant_pressure,1050.0,10.0,1.1,0.2,4.971072080788069,4.972342199336507,0.025550193756922194,2713.235392766597,1663.2353927665972,300757434.2852173,0.009516781141966442,3543,ignited,
constant_pressure,1050.0,10.0,1.2,0.2,4.832389678111707,4.83351655648595,0.023319277817081856,2685.0392848678657,1635.0392848678657,285737140.20254517,0.008740184656654373,3615,ignited,
constant_pressure,1050.0,10.0,1.3,0.2,4.7184592625267525,4.719700939472177,0.026315304982828393,2630.769259354139,1580.7692593541392,247645504.92279053,0.007097141173230246,3671,ignited,
constant_pressure,1050.0,10.0,1.4,0.2,4.624622478878358,4.626338982313931,0.037116617484192906,2567.4047427179917,1517.4047427179917,193384798.20980835,0.004555986848160973,3563,ignited,
constant_pressure,1075.0,10.0,0.6,0.2,3.964743917360146,3.968824819994677,0.10292979116917086,2302.3632528928224,1227.3632528928224,116641084.75791168,0.004710144373512907,3234,ignited,
constant_pressure,1075.0,10.0,0.7,0.2,3.7224853256233352,3.7255736356119806,0.0829636578386849,2445.2798894390853,1370.2798894390853,175846485.81488037,0.006496229121764358,3325,ignited,
constant_pressure,1075.0,10.0,0.8,0.2,3.5419556615711,3.5444281444410857,0.06980558499958998,2563.555786952321,1488.555786952321,232422257.06814575,0.008085909307262152,3469,ignited,
constant_pressure,1075.0,10.0,0.9,0.2,3.404454257865624,3.4064652065592145,0.059068166034087904,2653.580237927018,1578.580237927018,278837306.58251953,0.00925037548823141,3436,ignited,
constant_pressure,1075.0,10.0,1.0,0.2,3.2983538301290807,3.2999533279071933,0.04849382026579116,2710.5138852462765,1635.5138852462765,308906627.020813,0.009833550415667051,3563,ignited,
